yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
3.022831,2.082869,3.962792,0,,,m1,hep-ph,full,,,,,
5.640206,4.428057,6.852355,0.5,,,m1,hep-ph,full,,,,,
7.02828,5.736021,8.320538,1,,,m1,hep-ph,full,,,,,
8.224107,6.88326,9.564954,1.5,,,m1,hep-ph,full,,,,,
9.552517,7.993498,11.11154,2,,,m1,hep-ph,full,,,,,
11.08625,9.021683,13.15082,2.5,,,m1,hep-ph,full,,,,,
12.86503,9.964303,15.76576,3,,,m1,hep-ph,full,,,,,
14.92906,10.83711,19.021,3.5,,,m1,hep-ph,full,,,,,
17.32421,11.64282,23.0056,4,,,m1,hep-ph,full,,,,,
20.10363,12.36693,27.84033,4.5,,,m1,hep-ph,full,,,,,
23.32897,12.97998,33.67795,5,,,m1,hep-ph,full,,,,,
2.511098,1.786629,3.235568,0,0,,m2,hep-ph,full,,,,,
5.754437,4.381385,7.127489,0,1,,m2,hep-ph,full,,,,,
16.32449,12.91735,19.73163,0,5,,m2,hep-ph,full,,,,,
4.275007,3.412975,5.137039,0.5,0,,m2,hep-ph,full,,,,,
6.423527,5.161207,7.685848,0.5,1,,m2,hep-ph,full,,,,,
18.2226,15.02152,21.42369,0.5,5,,m2,hep-ph,full,,,,,
5.355282,4.382198,6.328366,1,0,,m2,hep-ph,full,,,,,
7.170415,5.986621,8.354208,1,1,,m2,hep-ph,full,,,,,
20.34141,17.11817,23.56466,1,5,,m2,hep-ph,full,,,,,
6.128859,5.064985,7.192734,1.5,0,,m2,hep-ph,full,,,,,
8.004146,6.794299,9.213993,1.5,1,,m2,hep-ph,full,,,,,
22.70659,19.02334,26.38983,1.5,5,,m2,hep-ph,full,,,,,
6.875987,5.643013,8.108962,2,0,,m2,hep-ph,full,,,,,
8.934818,7.511087,10.35855,2,1,,m2,hep-ph,full,,,,,
25.34676,20.64093,30.0526,2,5,,m2,hep-ph,full,,,,,
7.683161,6.137687,9.228635,2.5,0,,m2,hep-ph,full,,,,,
9.973702,8.110764,11.83664,2.5,1,,m2,hep-ph,full,,,,,
28.29393,21.99392,34.59393,2.5,5,,m2,hep-ph,full,,,,,
8.57821,6.55631,10.60011,3,0,,m2,hep-ph,full,,,,,
11.13338,8.610764,13.656,3,1,,m2,hep-ph,full,,,,,
31.58377,23.13006,40.03747,3,5,,m2,hep-ph,full,,,,,
9.576006,6.909035,12.24298,3.5,0,,m2,hep-ph,full,,,,,
12.4279,9.03022,15.82558,3.5,1,,m2,hep-ph,full,,,,,
35.25613,24.07055,46.44171,3.5,5,,m2,hep-ph,full,,,,,
10.68953,7.200729,14.17832,4,0,,m2,hep-ph,full,,,,,
13.87294,9.37546,18.37042,4,1,,m2,hep-ph,full,,,,,
39.35549,24.80847,53.90251,4,5,,m2,hep-ph,full,,,,,
11.93246,7.429189,16.43572,4.5,0,,m2,hep-ph,full,,,,,
15.486,9.642014,21.32998,4.5,1,,m2,hep-ph,full,,,,,
43.9315,25.31627,62.54674,4.5,5,,m2,hep-ph,full,,,,,
13.31989,7.586328,19.05346,5,0,,m2,hep-ph,full,,,,,
17.28661,9.817817,24.75541,5,1,,m2,hep-ph,full,,,,,
49.03958,25.55042,72.52875,5,5,,m2,hep-ph,full,,,,,
6.492075,5.301057,7.683093,0,,,m1,astro,full,,,,,
9.12226,7.662565,10.58196,0.5,,,m1,astro,full,,,,,
10.53877,8.982991,12.09454,1,,,m1,astro,full,,,,,
11.54892,10.03609,13.06175,1.5,,,m1,astro,full,,,,,
12.51943,10.97706,14.0618,2,,,m1,astro,full,,,,,
13.54394,11.79105,15.29682,2.5,,,m1,astro,full,,,,,
14.64681,12.47203,16.8216,3,,,m1,astro,full,,,,,
15.83842,13.04548,18.63135,3.5,,,m1,astro,full,,,,,
17.12675,13.53832,20.71518,4,,,m1,astro,full,,,,,
18.51984,13.96609,23.07358,4.5,,,m1,astro,full,,,,,
20.02623,14.33458,25.71787,5,,,m1,astro,full,,,,,
5.621121,4.79298,6.449263,0,0,,m2,astro,full,,,,,
9.577754,7.884846,11.27066,0,1,,m2,astro,full,,,,,
23.49863,13.17106,33.82621,0,5,,m2,astro,full,,,,,
7.956217,6.824801,9.087632,0.5,0,,m2,astro,full,,,,,
10.77583,8.972595,12.57907,0.5,1,,m2,astro,full,,,,,
24.96685,14.18566,35.74803,0.5,5,,m2,astro,full,,,,,
9.225056,7.913692,10.53642,1,0,,m2,astro,full,,,,,
11.60662,9.701335,13.5119,1,1,,m2,astro,full,,,,,
26.52631,15.24879,37.80383,1,5,,m2,astro,full,,,,,
10.01549,8.68417,11.34681,1.5,0,,m2,astro,full,,,,,
12.36981,10.42921,14.31041,1.5,1,,m2,astro,full,,,,,
28.18306,16.35857,40.00756,1.5,5,,m2,astro,full,,,,,
10.6938,9.344009,12.0436,2,0,,m2,astro,full,,,,,
13.15149,11.16873,15.13426,2,1,,m2,astro,full,,,,,
29.94327,17.5132,42.37334,2,5,,m2,astro,full,,,,,
11.3743,9.967868,12.78073,2.5,0,,m2,astro,full,,,,,
13.97504,11.91396,16.03611,2.5,1,,m2,astro,full,,,,,
31.8134,18.71115,44.91565,2.5,5,,m2,astro,full,,,,,
12.08768,10.57299,13.60237,3,0,,m2,astro,full,,,,,
14.84837,12.65776,17.03898,3,1,,m2,astro,full,,,,,
33.80033,19.94829,47.65238,3,5,,m2,astro,full,,,,,
12.84333,11.16175,14.52491,3.5,0,,m2,astro,full,,,,,
15.77586,13.39428,18.15744,3.5,1,,m2,astro,full,,,,,
35.91136,21.2234,50.59932,3.5,5,,m2,astro,full,,,,,
13.64564,11.73522,15.55605,4,0,,m2,astro,full,,,,,
16.76118,14.1202,19.40216,4,1,,m2,astro,full,,,,,
38.15423,22.53276,53.77571,4,5,,m2,astro,full,,,,,
14.49792,12.29573,16.70012,4.5,0,,m2,astro,full,,,,,
17.80802,14.83473,20.78131,4.5,1,,m2,astro,full,,,,,
40.53719,23.87287,57.2015,4.5,5,,m2,astro,full,,,,,
15.40341,12.84633,17.96049,5,0,,m2,astro,full,,,,,
18.92024,15.53885,22.30162,5,1,,m2,astro,full,,,,,
43.06897,25.23998,60.89796,5,5,,m2,astro,full,,,,,
2.732456,2.067425,3.397487,0,,,m1,cond,full,,,,,
4.101607,3.480329,4.722885,0.5,,,m1,cond,full,,,,,
4.774452,4.059003,5.489901,1,,,m1,cond,full,,,,,
5.363065,4.616659,6.109472,1.5,,,m1,cond,full,,,,,
6.000321,5.197675,6.802967,2,,,m1,cond,full,,,,,
6.710413,5.782866,7.637959,2.5,,,m1,cond,full,,,,,
7.504191,6.362093,8.64629,3,,,m1,cond,full,,,,,
8.391825,6.93627,9.84738,3.5,,,m1,cond,full,,,,,
9.384447,7.510549,11.25835,4,,,m1,cond,full,,,,,
10.49448,8.089264,12.8997,4.5,,,m1,cond,full,,,,,
11.73581,8.67438,14.79725,5,,,m1,cond,full,,,,,
2.424111,1.839745,3.008478,0,0,,m2,cond,full,,,,,
5.605108,4.735831,6.474384,0,1,,m2,cond,full,,,,,
33.24392,23.31385,43.17399,0,5,,m2,cond,full,,,,,
3.699625,3.141991,4.25726,0.5,0,,m2,cond,full,,,,,
6.189113,5.390638,6.987588,0.5,1,,m2,cond,full,,,,,
36.70766,25.63697,47.77834,0.5,5,,m2,cond,full,,,,,
4.335687,3.673486,4.997889,1,0,,m2,cond,full,,,,,
6.833967,6.087977,7.579956,1,1,,m2,cond,full,,,,,
40.53229,28.01515,53.04942,1,5,,m2,cond,full,,,,,
4.828816,4.1249,5.532733,1.5,0,,m2,cond,full,,,,,
7.546009,6.79648,8.295538,1.5,1,,m2,cond,full,,,,,
44.75541,30.42947,59.08135,1.5,5,,m2,cond,full,,,,,
5.338247,4.582747,6.093748,2,0,,m2,cond,full,,,,,
8.33224,7.478631,9.185849,2,1,,m2,cond,full,,,,,
49.41855,32.86295,65.97415,2,5,,m2,cond,full,,,,,
5.895398,5.038509,6.752287,2.5,0,,m2,cond,full,,,,,
9.20039,8.119453,10.28133,2.5,1,,m2,cond,full,,,,,
54.56755,35.29978,73.83532,2.5,5,,m2,cond,full,,,,,
6.509792,5.483803,7.535781,3,0,,m2,cond,full,,,,,
10.15899,8.729837,11.58815,3,1,,m2,cond,full,,,,,
60.25303,37.72395,82.78212,3,5,,m2,cond,full,,,,,
7.188079,5.917951,8.458207,3.5,0,,m2,cond,full,,,,,
11.21748,9.32519,13.10976,3.5,1,,m2,cond,full,,,,,
66.53089,40.11772,92.94407,3.5,5,,m2,cond,full,,,,,
7.93702,6.344018,9.530023,4,0,,m2,cond,full,,,,,
12.38624,9.915147,14.85734,4,1,,m2,cond,full,,,,,
73.46286,42.46017,104.4655,4,5,,m2,cond,full,,,,,
8.763992,6.765084,10.7629,4.5,0,,m2,cond,full,,,,,
13.67679,10.50373,16.84984,4.5,1,,m2,cond,full,,,,,
81.11707,44.72594,117.5082,4.5,5,,m2,cond,full,,,,,
9.677127,7.182774,12.17148,5,0,,m2,cond,full,,,,,
15.10179,11.09119,19.1124,5,1,,m2,cond,full,,,,,
89.56879,46.88404,132.2535,5,5,,m2,cond,full,,,,,
4.026017,3.357951,4.694082,0.5,,0,m3,hep-ph,full,,,,,
5.318268,4.713381,5.923155,2,,0,m3,hep-ph,full,,,,,
9.280247,4.616493,13.944,5,,0,m3,hep-ph,full,,,,,
4.244828,3.593656,4.895999,0.5,,200,m3,hep-ph,full,,,,,
5.659666,5.093197,6.226135,2,,200,m3,hep-ph,full,,,,,
10.06125,5.707672,14.41484,5,,200,m3,hep-ph,full,,,,,
4.475531,3.825614,5.125449,0.5,,400,m3,hep-ph,full,,,,,
6.022979,5.470516,6.575442,2,,400,m3,hep-ph,full,,,,,
10.90799,6.802312,15.01367,5,,400,m3,hep-ph,full,,,,,
4.718774,4.048109,5.389438,0.5,,600,m3,hep-ph,full,,,,,
6.409614,5.827762,6.991467,2,,600,m3,hep-ph,full,,,,,
11.82599,7.800677,15.85129,5,,600,m3,hep-ph,full,,,,,
4.975236,4.256492,5.69398,0.5,,800,m3,hep-ph,full,,,,,
6.821069,6.173211,7.468927,2,,800,m3,hep-ph,full,,,,,
12.82124,8.572865,17.06961,5,,800,m3,hep-ph,full,,,,,
5.245637,4.448416,6.042857,0.5,,1000,m3,hep-ph,full,,,,,
7.258936,6.498509,8.019364,2,,1000,m3,hep-ph,full,,,,,
13.90025,9.015628,18.78487,5,,1000,m3,hep-ph,full,,,,,
5.530733,4.623928,6.437539,0.5,,1200,m3,hep-ph,full,,,,,
7.724912,6.807629,8.642195,2,,1200,m3,hep-ph,full,,,,,
15.07007,9.100202,21.03993,5,,1200,m3,hep-ph,full,,,,,
5.831325,4.784535,6.878115,0.5,,1400,m3,hep-ph,full,,,,,
8.2208,7.105717,9.335884,2,,1400,m3,hep-ph,full,,,,,
16.33833,8.849018,23.82765,5,,1400,m3,hep-ph,full,,,,,
6.148254,4.932141,7.364366,0.5,,1600,m3,hep-ph,full,,,,,
8.748521,7.396878,10.10016,2,,1600,m3,hep-ph,full,,,,,
17.71334,8.289147,27.13753,5,,1600,m3,hep-ph,full,,,,,
6.482407,5.068394,7.89642,0.5,,1800,m3,hep-ph,full,,,,,
9.310118,7.683794,10.93644,2,,1800,m3,hep-ph,full,,,,,
19.20406,7.432072,30.97604,5,,1800,m3,hep-ph,full,,,,,
6.834722,5.194459,8.474985,0.5,,2000,m3,hep-ph,full,,,,,
9.907766,7.967985,11.84755,2,,2000,m3,hep-ph,full,,,,,
20.82023,6.2727,35.36777,5,,2000,m3,hep-ph,full,,,,,
7.206184,5.311019,9.101349,0.5,,2200,m3,hep-ph,full,,,,,
10.54378,8.250148,12.83741,2,,2200,m3,hep-ph,full,,,,,
22.57242,4.792988,40.35186,5,,2200,m3,hep-ph,full,,,,,
7.597835,5.418453,9.777218,0.5,,2400,m3,hep-ph,full,,,,,
11.22062,8.530392,13.91085,2,,2400,m3,hep-ph,full,,,,,
24.47208,2.964992,45.97916,5,,2400,m3,hep-ph,full,,,,,
8.010773,5.517925,10.50362,0.5,,2600,m3,hep-ph,full,,,,,
11.94091,8.808406,15.07341,2,,2600,m3,hep-ph,full,,,,,
26.5316,0.7526791,52.31052,5,,2600,m3,hep-ph,full,,,,,
8.446153,5.627621,11.26468,0.5,,2800,m3,hep-ph,full,,,,,
12.70744,9.083542,16.33133,2,,2800,m3,hep-ph,full,,,,,
28.76445,-1.887196,59.41609,5,,2800,m3,hep-ph,full,,,,,
8.905196,5.966326,11.84407,0.5,,3000,m3,hep-ph,full,,,,,
13.52317,9.354875,17.69147,2,,3000,m3,hep-ph,full,,,,,
31.18521,-5.004801,67.37521,5,,3000,m3,hep-ph,full,,,,,
8.116656,6.222908,10.0104,0.5,,0,m3,astro,full,,,,,
10.28819,8.231591,12.34479,2,,0,m3,astro,full,,,,,
14.91507,11.44023,18.38991,5,,0,m3,astro,full,,,,,
8.280717,6.391884,10.16955,0.5,,200,m3,astro,full,,,,,
10.45027,8.394412,12.50614,2,,200,m3,astro,full,,,,,
15.1342,11.66445,18.60396,5,,200,m3,astro,full,,,,,
8.444523,6.559458,10.32959,0.5,,400,m3,astro,full,,,,,
10.61331,8.558677,12.66795,2,,400,m3,astro,full,,,,,
15.35653,11.89247,18.82058,5,,400,m3,astro,full,,,,,
8.608226,6.726148,10.4903,0.5,,600,m3,astro,full,,,,,
10.7776,8.724705,12.8305,2,,600,m3,astro,full,,,,,
15.58209,12.12437,19.03982,5,,600,m3,astro,full,,,,,
8.771974,6.892423,10.65153,0.5,,800,m3,astro,full,,,,,
10.94339,8.892737,12.99404,2,,800,m3,astro,full,,,,,
15.81096,12.36018,19.26174,5,,800,m3,astro,full,,,,,
8.935912,7.058697,10.81313,0.5,,1000,m3,astro,full,,,,,
11.11088,9.062959,13.15879,2,,1000,m3,astro,full,,,,,
16.04318,12.59997,19.48639,5,,1000,m3,astro,full,,,,,
9.100183,7.225337,10.97503,0.5,,1200,m3,astro,full,,,,,
11.28025,9.235513,13.32498,2,,1200,m3,astro,full,,,,,
16.27881,12.84378,19.71384,5,,1200,m3,astro,full,,,,,
9.264927,7.392661,11.13719,0.5,,1400,m3,astro,full,,,,,
11.45165,9.41051,13.49279,2,,1400,m3,astro,full,,,,,
16.51789,13.09165,19.94414,5,,1400,m3,astro,full,,,,,
9.430277,7.560944,11.29961,0.5,,1600,m3,astro,full,,,,,
11.62521,9.588037,13.66238,2,,1600,m3,astro,full,,,,,
16.76049,13.34362,20.17736,5,,1600,m3,astro,full,,,,,
9.596367,7.730419,11.46232,0.5,,1800,m3,astro,full,,,,,
11.80104,9.768163,13.83391,2,,1800,m3,astro,full,,,,,
